Gene	CRH9EOS_d0	CRH9EOS_d1	CRH9EOS_d2	CRH9EOS_d3	CRH9EOS_d7	CRH9EOS_d10	CRH9EOS_d20+E	CRH9EOS_d20+X	ctrl	HNES1_d0	HNES1_d1	HNES1_d2	HNES1_d3	HNES1_d7	HNES1_d10	HNES1_d20+E	HNES1_d20+X
TSPAN6	3.17530357	3.808541744	3.871644964	3.637712417	3.495276092	3.621916599	4.320817375	4.57747563	4.108973014	3.175745947	3.808722565	3.644074998	3.463224578	3.589496142	3.576551611	3.456739724	3.747973832
TNMD	0.345023478	0.549007024	0.546451722	0.351125277	0.496375652	1.020879948	0.794016521	1.541587603	0.678630368	0.141155065	0.187209535	0.193063236	0.08178197	0.311740387	0.237310931	0.319505668	0.523380122
DPM1	6.291226705	6.148089651	6.298715706	6.265794226	5.875987309	5.871248106	5.617429502	5.921780832	5.510648912	7.00615639	6.838171524	6.819813729	6.692759661	6.414749143	6.243410346	5.925021763	6.220532246
SCYL3	1.092656747	1.038916557	1.190985133	1.094045694	1.218045879	1.071761078	1.181582027	1.240524833	1.079329642	1.250476607	1.221800581	1.351371876	1.213764345	1.178318157	1.259671973	1.147214113	1.304324721
C1orf112	1.796026977	1.87190726	2.218390508	2.149775718	2.376703637	2.442144016	2.668978446	2.523123055	2.502292465	2.033213284	2.070376503	1.922546121	1.972246656	2.242500035	2.315287908	2.478849993	2.687052548
FGR	0.024124311	0.092934799	0.109435761	0.185983928	0.20570644	0.21393364	0.252920118	0.196792389	0.18335633	0.0144015	0.051124024	0.178496028	0.243029937	0.20646236	0.148106576	0.247144614	0.272165747
CFH	0.050949872	0.036094172	0.023100086	0.008768108	0	0	0.005165856	0.004594605	0	0.058130022	0.033694117	0	0.010807351	0.005260999	0.015293041	0.004261062	0
FUCA2	2.984613443	2.668870353	2.075771887	2.175843048	2.917110389	3.076795811	4.170005878	3.637619866	4.395753667	2.707604336	2.822035057	2.498433062	2.354734725	2.758932056	3.472536834	4.030561927	3.716175758
GCLC	2.656292034	2.878984105	3.17958808	3.246599823	2.992407612	2.98657637	2.724870825	2.881825551	2.710019582	2.570530192	2.902375723	2.990675443	2.980559333	3.01622359	2.938970527	2.722682975	2.785098766
NFYA	3.582414052	3.177580822	3.377933815	3.476656829	3.499082526	3.624158542	3.614475133	3.548498119	3.759847787	3.114217342	2.948907592	3.125296211	3.352835374	3.394305636	3.525348091	3.549582904	3.438964728
