sample	dataset	organism	day	original.annotation	new.identity
D14A1B8	Xiang	H.sapiens	14	PSA.EPI	hsPrE
D14A1S8	Xiang	H.sapiens	14	Intermediate	hsAME.E
D10A2S24	Xiang	H.sapiens	10	PrE	hsPrE
D14A1B4	Xiang	H.sapiens	14	Intermediate	hsPrE
D9A4B2	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S14	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S9	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S13	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1B11	Xiang	H.sapiens	14	Intermediate	hsPrE
D14A1S25	Xiang	H.sapiens	14	Intermediate	hsAME.E
D14A1B2	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D8A1B2	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A3S1	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A5B11	Xiang	H.sapiens	12	PrE	hsPrE
D8A1S31	Xiang	H.sapiens	8	PostEPI	hsPostEPI.E1
D8A1B6	Xiang	H.sapiens	8	Early.EVT	hsCTB
D8A2S24	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1S11	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D9A1B16	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1B25	Xiang	H.sapiens	14	STB	hsSTB
D8A6B6	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1S10	Xiang	H.sapiens	14	Intermediate	hsAME.E
D8A3B11	Xiang	H.sapiens	8	PrE	hsPrE
D8A1S7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A1S28	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D14A2B16	Xiang	H.sapiens	14	STB	hsSTB
D14A1S30	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1B9	Xiang	H.sapiens	14	Intermediate	hsAME.E
D6A5B4	Xiang	H.sapiens	6	ICM	hsTE
D12A4B5	Xiang	H.sapiens	12	STB	hsSTB
D9A1S3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S31	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S2	Xiang	H.sapiens	14	Intermediate	hsAME.E
D10A1S1	Xiang	H.sapiens	10	Early.EVT	hsCTB
D14A1B3	Xiang	H.sapiens	14	AME	hsEVT
D8A2S4	Xiang	H.sapiens	8	Early.EVT	hsCTB
D12A4B9	Xiang	H.sapiens	12	STB	hsSTB
D8A3S7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A4S7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S28	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D8A6B3	Xiang	H.sapiens	8	PostCTB	hsCTB
D9A4S9	Xiang	H.sapiens	9	Early.EVT	hsCTB
D8A2S2	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14A1S7	Xiang	H.sapiens	14	PSA.EPI	hsPrE
D9A3B7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3B1	Xiang	H.sapiens	12	PrE	hsPrE
D14A1S33	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1B7	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D9A1S2	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3S15	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D9A1B1	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A4S11	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3B11	Xiang	H.sapiens	12	STB	hsSTB
D14A1S32	Xiang	H.sapiens	14	Intermediate	hsAME.E
D12A3B14	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D7A4B6	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1S1	Xiang	H.sapiens	14	Intermediate	hsAME.E
D12A3B7	Xiang	H.sapiens	12	STB	hsSTB
D14A1S12	Xiang	H.sapiens	14	Intermediate	hsPrE
D9A4B7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A4B8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S22	Xiang	H.sapiens	14	Intermediate	hsAME.E
D9A5S8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A1S23	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A2S1	Xiang	H.sapiens	14	EVT	hsEVT
D10A1S11	Xiang	H.sapiens	10	Early.EVT	hsCTB
D9A1S26	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A1S8	Xiang	H.sapiens	9	PostCTB	hsCTB
D8A5B8	Xiang	H.sapiens	8	PostCTB	hsCTB
D10A1S21	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D8A6S15	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A3S14	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D6N1B6	Xiang	H.sapiens	6	ICM	hsICM
D8A2S3	Xiang	H.sapiens	8	Early.EVT	hsCTB
D12_2B2	Xiang	H.sapiens	12	EVT	hsEVT
D12A5S1	Xiang	H.sapiens	12	PrE	hsPrE
D14A1B24	Xiang	H.sapiens	14	STB	hsSTB
D14A1S51	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1B1	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D8A2S15	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14A1S23	Xiang	H.sapiens	14	Intermediate	hsAME.E
D8A6B1	Xiang	H.sapiens	8	PostCTB	hsCTB
D6A4S5	Xiang	H.sapiens	6	ICM	hsTE
D12A3S13	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D14A1S5	Xiang	H.sapiens	14	Intermediate	hsAME.E
D7N1S30	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D14A2B1	Xiang	H.sapiens	14	EVT	hsEVT
D14A1S57	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D14A1S6	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D9A1S10	Xiang	H.sapiens	9	PreEPI	hsPostEPI.E1
D6A4B3	Xiang	H.sapiens	6	ICM	hsICM
D8A3S12	Xiang	H.sapiens	8	Early.EVT	hsCTB
D6A5B3	Xiang	H.sapiens	6	ICM	hsTE
D14A2S13	Xiang	H.sapiens	14	EVT	hsEVT
D9A2B8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1B15	Xiang	H.sapiens	14	AME	hsPostEPI.Gast
D12A5S17	Xiang	H.sapiens	12	PrE	hsPrE
D12A3S24	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A4S29	Xiang	H.sapiens	12	Intermediate	hsPostEPI.AME
D8A1B3	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A5S12	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D9A6S10	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A5S4	Xiang	H.sapiens	12	PrE	hsPrE
D6A3S5	Xiang	H.sapiens	6	ICM	hsICM
D12A3S26	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A3B13	Xiang	H.sapiens	12	STB	hsSTB
D9A5S3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3S27	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D14A1B23	Xiang	H.sapiens	14	STB	hsSTB
D6A3B2	Xiang	H.sapiens	6	ICM	hsICM
D14A1B17	Xiang	H.sapiens	14	EVT	hsEVT
D9A4S14	Xiang	H.sapiens	9	PreCTB	hsTE
D10A4B3	Xiang	H.sapiens	10	Early.EVT	hsCTB
D12A3S32	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E1
D10A1S23	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14A1S56	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D6A2S7	Xiang	H.sapiens	6	ICM	hsICM
D9A2S1	Xiang	H.sapiens	9	PostCTB	hsCTB
D7N1S21	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D8A5S1	Xiang	H.sapiens	8	PostCTB	hsCTB
D10A6S4	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14_3B5	Xiang	H.sapiens	14	EVT	hsEVT
D8A5B7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1B13	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14_2B3	Xiang	H.sapiens	14	EVT	hsEVT
D9A6S15	Xiang	H.sapiens	9	Early.EVT	hsCTB
D10A1S12	Xiang	H.sapiens	10	Early.EVT	hsCTB
D9A2B5	Xiang	H.sapiens	9	PostCTB	hsCTB
D14A3B10	Xiang	H.sapiens	14	EVT	hsEVT
D7A1S9	Xiang	H.sapiens	7	PostCTB	hsCTB
D9A4B1	Xiang	H.sapiens	9	PrE	hsPrE
D12A3S16	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D9A4S3	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D8A1S1	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A2S21	Xiang	H.sapiens	14	EVT	hsEVT
D9A4S10	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S19	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S24	Xiang	H.sapiens	14	AME	hsAME.E
D6A4S6	Xiang	H.sapiens	6	ICM	hsTE
