group,replicate,fastq_1,fastq_2,antibody,control
cR_H9_EOS_d0,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CACTCA_W0_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CACTCA_W0_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d0,2,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GTTTCG_Z0_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GTTTCG_Z0_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d10,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GGCTAC_W10_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GGCTAC_W10_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d10,2,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TATAAT_Z10_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TATAAT_Z10_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d20E,1,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_ATGAGC_Z23E_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_ATGAGC_Z23E_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d20E,2,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GGCTAC_W27E_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GGCTAC_W27E_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d20X,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TCGGCA_Z23X_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TCGGCA_Z23X_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d20X,2,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_TTAGGC_W28X_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_TTAGGC_W28X_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d3,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CCAACA_W3_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CCAACA_W3_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
cR_H9_EOS_d3,2,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CTCAGA_Z3_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CTCAGA_Z3_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
H9_EOS,2,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_CCGTCC_H9-3_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_CCGTCC_H9-3_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
H9_EOS,1,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GCCAAT_H9-1_H3K27ac_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K27ac/lane2_GCCAAT_H9-1_H3K27ac_merged_L002_R2.fastq.gz,H3K27ac,INPUT
HNES1_d0,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CCGTCC_C0_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CCGTCC_C0_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
HNES1_d0,2,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GGTAGC_D0_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GGTAGC_D0_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
HNES1_d10,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CAAAAG_D10_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_CAAAAG_D10_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
HNES1_d10,2,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GTGGCC_C10_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GTGGCC_C10_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
HNES1_d3,1,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GCCAAT_C3_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_GCCAAT_C3_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
HNES1_d3,2,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TTAGGC_D3_H3K27ac_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K27ac/lane1_TTAGGC_D3_H3K27ac_merged_L001_R2.fastq.gz,H3K27ac,INPUT
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R2.fastq.gz,,
