group,replicate,fastq_1,fastq_2,antibody,control
cR_H9_EOS_d0,1,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CACGAT_W0_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CACGAT_W0_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d0,2,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_GTGGCC_Z0_H3K9me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_GTGGCC_Z0_H3K9me3_merged_L002_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d10,1,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TACAGC_Z10_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TACAGC_Z10_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d10,2,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TAGCTT_W10_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TAGCTT_W10_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d20E,1,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_ACTGAT_Z23E_H3K9me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_ACTGAT_Z23E_H3K9me3_merged_L002_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d20E,2,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_TAGCTT_W27E_H3K9me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_TAGCTT_W27E_H3K9me3_merged_L002_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d20X,1,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TCGAAG_Z23X_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_TCGAAG_Z23X_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d20X,2,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_ATCACG_W28X_H3K9me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K9me3/lane2_ATCACG_W28X_H3K9me3_merged_L002_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d3,1,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CATTTT_W3_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CATTTT_W3_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
cR_H9_EOS_d3,2,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CTATAC_Z3_H3K9me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K9me3/lane1_CTATAC_Z3_H3K9me3_merged_L001_R2.fastq.gz,H3K9me3,INPUT
